"","MPG","Weight","Cylinders","Gears","Displacement","Horsepower","AxleRatio","NVratio","Transmission","DriveSystem","FuelType"
"328",34.4,3375,4,7,1.8,138,5.44,29.6,"CVT","F","Unleaded"
"329",17.5,5500,8,8,4.8,520,2.92,38.4,"SA","R","Unleaded"
"330",26.6,3875,4,6,2,240,3.21,31.6,"SA","F","Unleaded"
"331",31.6,3500,3,6,1.5,134,3.68,34.1,"SA","F","Unleaded"
"332",20.4,6000,8,6,5.3,345,3.42,25.2,"A","R","Unleaded"
"333",36,3625,4,1,1.987,145,5.18,26.2,"CVT","F","Unleaded"
"334",18.6,5000,8,8,5.7,390,3.21,23.6,"A","R","Unleaded"
"335",28.5,3625,4,6,2.4,185,2.89,29.5,"SA","F","Unleaded"
"336",19.6,4750,6,8,3,405,2.8,23.9,"A","R","Unleaded"
"337",28.8,3750,3,6,1.5,134,4.06,34.8,"M","F","Unleaded"
"338",29.5,3625,4,6,2,180,3.08,34.1,"M","R","Unleaded"
"339",28,3375,4,6,1.6,201,4.47,39.2,"M","F","Unleaded"
"340",50.9,2375,3,1,1.193,78,3.76,32.1,"CVT","F","Unleaded"
"341",30.6,3750,4,7,1.991,208,2.65,30.6,"SA","F","Unleaded"
"342",20.8,5250,6,6,3.7,270,3.16,28,"SA","A","Unleaded"
"343",34.2,5000,4,8,1.969,313,3.2,27.6,"SA","A","Unleaded"
"344",16.1,5500,12,7,5.98,621,2.65,24.1,"A","R","Unleaded"
"345",25.8,4500,4,6,2,245,3.36,29.5,"A","F","Unleaded"
"346",28.2,3625,6,7,3,370,3.44,41.3,"SA","R","Unleaded"
"347",27,4250,4,8,2,252,3.73,28.1,"SA","R","Unleaded"
"348",25.4,4250,4,6,2,240,3.2,29.4,"SA","F","Unleaded"
"349",23.8,5000,6,8,3.6,295,3.45,26.4,"A","R","Unleaded"
"350",27.7,3875,4,8,2,272,3.27,27,"SA","R","Unleaded"
"351",24.4,4250,6,8,3,335,2.93,24.3,"SA","R","Unleaded"
"352",24,3625,4,6,2.5,361,3.89,46.8,"M","R","Unleaded"
"353",28.2,3875,4,7,1.984,292,3.3,30.6,"SA","F","Unleaded"
"354",26.8,3625,4,6,2,268,4.11,37.5,"M","F","Unleaded"
"355",27,3375,4,6,2,306,4.11,40.6,"M","F","Unleaded"
"356",37.4,3000,3,6,1.5,134,3.42,40.4,"M","F","Unleaded"
"357",27.6,3375,4,6,2,228,3.82,44.2,"M","F","Unleaded"
"358",25,4000,6,8,3.456,311,2.94,26.4,"A","R","Unleaded"
"359",28.5,4000,4,9,1.991,241,3.07,24.8,"A","R","Unleaded"
"360",22.4,4500,6,6,3,425,3.46,38,"M","R","Unleaded"
"361",26.6,4500,4,8,2,250,3.73,28.7,"SA","A","Unleaded"
"362",23.7,4500,6,8,3.3,365,3.54,26.3,"SA","R","Unleaded"
"363",16.7,4250,10,7,5.204,540,3.59,33.4,"SA","A","Unleaded"
"364",29.9,3625,4,10,2,252,3.55,24.7,"SA","F","Unleaded"
"365",20.8,5000,6,6,2.7,325,3.16,29.1,"A","F","Unleaded"
"366",36.7,3125,4,6,1.798,132,4.21,36.5,"M","F","Unleaded"
"367",19.5,6000,6,10,3.5,375,3.31,22.9,"A","R","Unleaded"
"368",18.4,6500,8,8,6.2,425,3.23,22.8,"A","R","Unleaded"
"369",18.7,4000,8,7,3.982,577,3.88,30.5,"A","R","Unleaded"
"370",24.2,4250,6,6,3.456,311,3.77,29,"A","R","Unleaded"
"371",24.2,3750,6,8,3.6,335,2.77,22.9,"SA","R","Unleaded"
"372",43.7,2500,3,5,1.193,78,4.06,50.6,"M","F","Unleaded"
"373",28,3250,4,6,2,189,3.6,41.6,"M","F","Unleaded"
"374",34.9,3125,3,6,1.5,134,3.42,40.3,"M","F","Unleaded"
"375",34.9,4250,6,7,3.5,302,2.61,26.1,"SA","R","Unleaded"
"376",15.3,4500,8,10,6.2,650,2.77,22.6,"SA","R","Unleaded"
"377",24.7,4750,6,8,3,300,3.23,26.9,"SA","R","Unleaded"
"378",27.8,4250,4,8,1.969,240,3.33,28.4,"SA","F","Unleaded"
"379",28,4250,4,6,1.998,235,4.4,32.8,"A","F","Unleaded"
"380",22,4500,6,6,3,393,2.77,26.7,"A","F","Unleaded"
"381",33.6,3875,4,1,2.5,175,3.9,28.8,"CVT","F","Unleaded"
"382",39.9,4250,4,8,2,180,2.73,24.3,"SA","A","Diesel"
"383",27.4,3625,4,9,2.4,180,1.79,22.8,"A","F","Unleaded"
"384",24.5,4750,6,8,3.456,295,3,23.6,"A","F","Unleaded"
"385",41.7,5000,6,1,3.456,259,3.54,21.2,"CVT","F","Unleaded"
"386",24.8,4000,4,6,1.984,200,3.45,30.9,"SA","A","Unleaded"
"387",32.1,3875,4,7,1.6,175,3.58,32.5,"SA","F","Unleaded"
"388",25.8,4500,6,8,3,355,3.38,26.1,"SA","R","Unleaded"
"389",20.8,4750,6,7,3,360,4.4,40.9,"SA","R","Unleaded"
"390",18.5,5500,8,8,5.7,390,3.21,22.8,"A","R","Unleaded"
"391",21.2,4750,6,7,3.6,400,4.67,36.8,"SA","R","Unleaded"
"392",25.2,4500,6,9,3.5,280,4.33,24.3,"SA","F","Unleaded"
"393",23.8,4250,6,8,3.6,310,3.2,24.7,"SA","F","Unleaded"
"394",31.5,3375,4,6,2,161,3.38,34.5,"SA","F","Unleaded"
"395",31.7,4750,4,1,2,265,2.77,24.6,"CVT","R","Unleaded"
